"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Azerbaijan","AZE","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-15.5786229372025","","-15.8713268041611","","-16.1737186312675","","-16.7485467195511","-15.8551226258278","-15.8640184998512","-12.6013087034225","-11.4002152681351","-13.6337158083916","-13.3555281162262","-11.2879837155342","-13.8172627091408","-13.1248403787613","-13.4346596598625","-7.65866124629974","-5.30070993304253","-4.27958817780018","-2.57929895073176","-2.78839917480946","-2.34383723884821","-2.05337335169315","-2.52661834657192","3.73129598796368","-0.57305508852005","-0.22849553450942","","",
"Burundi","BDI","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-28.2611932754517","","-27.2252432107925","","-24.0087918043137","","-25.5443329811096","-25.3515796661376","-21.0460779666901","-21.1504896879196","-18.8967137336731","-21.7853502035141","-19.3171019554138","-18.1415129899979","-19.1293238401413","-18.4524722099304","-22.2717109918594","-18.2049112319946","-19.5727279186248","-20.9447158575058","-25.1433353424072","-23.4314552545548","-24.5759893655777","-23.298264503479","-22.0770772695542","-23.0024321079255","-17.685128569603","-8.40079391002656","","",
"Belgium","BEL","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.0962425470353","","30.0926240682601","","28.2063019275666","","32.5568840503693","31.7669397592544","31.521901011467","29.0092155933381","29.6326279640198","27.2379499673843","23.4785274267196","26.646220445633","28.1209584474564","29.2984443902969","28.4090127944946","28.9387593269348","25.8037710189819","26.0868924856186","23.8554884195328","21.1850036382675","20.9140192270279","19.014393568039","18.4475599527359","18.5835126638413","17.1839163303375","7.25915396213532","","",
"Benin","BEN","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-6.46959567070007","","-5.94095131754875","","-6.74440452456474","","-9.79456824064254","-9.56432610750198","-8.93108040094376","-11.1190588474274","-11.0128844380379","-9.25977629423141","-8.39558559656143","-10.1275200843811","-10.3812019824982","-9.31340128183365","-8.9670826792717","-8.6576886177063","-8.2529781460762","-11.5003116130829","-10.5457856655121","-11.7830587625504","-10.670265853405","-8.26641476154327","-4.85347130894661","-3.94692265987397","-2.34420366585255","-1.53288888931275","","",
"Burkina Faso","BFA","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-15.7919870615005","","-15.6134523749351","","-13.314426779747","","-14.3896191120148","-13.817552447319","-11.8422005176544","-10.2711769342422","-13.6092900037765","-13.0878492593765","-9.00585186481476","-10.4924465417862","-10.0090720653534","-9.65381145477295","-10.748610496521","-11.3822638392448","-10.0611060261726","-11.623940050602","-10.7238969802856","-10.7567120790482","-10.8497183322907","-13.1560759544373","-11.9398583173752","-12.8819050788879","-11.7481285333633","-5.78359240293503","","",
"Bangladesh","BGD","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.693452000618","","-8.33559295535088","","-10.330088198185","","-12.3545141816139","-14.2697314620018","-15.8728454709053","-15.6170915365219","-14.2517639398575","-12.0243507027626","-12.551004588604","-13.6452633738518","-12.8095495700836","-13.1236227750778","-13.7271282076836","-13.549555182457","-13.1707262396812","-12.7107936143875","-11.9166373610497","-12.7201357483864","-12.8908849358559","-12.7464231848717","-13.1796610355377","-11.0450899600983","-10.6813505291939","-4.88133877515793","","",
"Bulgaria","BGR","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.723942093551159","","-1.4188900962472","","0.645583141595125","","2.95113874971866","0.56336423009634","1.3296532034874","2.27718551456929","-2.23297080397605","-2.07519553601742","-2.95783306658268","1.20700320601463","-1.12376661598682","-1.22242253273726","-0.491767272353172","-0.227649149484932","-1.90891414880752","-0.123036423698068","1.61119773983955","1.75929228961468","1.98971681296825","3.03963887691498","-3.54357136785984","-2.84231767058372","-3.7942296564579","0.329784359782934","","",
"Bahrain","BHR","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2028738856316","","9.62880390882492","","9.38287401199341","","8.62385106086731","7.02155014872551","8.73605579137802","6.45956259965897","6.39203345775604","6.58402547240257","6.14929169416427","7.83436027169228","7.41069433093071","8.47594779729843","8.96793121099472","9.64364850521088","9.30665743350983","8.81191736459732","4.7994986474514","2.48544076085091","2.2004612237215","4.31651085615159","6.73417222499847","11.7114480137825","8.96101450920105","4.88039124011993","","",
"Bahamas, The","BHS","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3451143503188","","21.4922202825547","","20.9828246831893","","21.3362908363342","20.7749487161637","20.4284185171127","20.4946727752686","19.7856327295304","18.7439013719558","19.4021275043488","17.0738356113434","18.1981083154678","16.5649793744087","16.7145878076553","14.7517652511597","12.3325457572937","11.6429574489593","11.7038079500198","9.27673584222793","8.60278630256653","7.67645156383514","7.01215049624443","7.26195359230042","5.93718111515045","1.89247280359268","","",
"Bosnia and Herzegovina","BIH","Government Effectiveness: Estimate","GE.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-20.2647807598114","","-20.5422894954682","","-17.9754492044449","","-18.2231513261795","-14.9895194768906","-11.933970272541","-13.0033896565437","-10.7671813964844","-14.6040857434273","-10.2715648412704","-12.2656611800194","-12.5814180970192","-12.5083809494972","-7.71349763870239","-7.3424329161644","-8.34176886081696","-10.5107594132423","-7.56296470761299","-8.71562951803207","-11.3062160611153","-11.8980227708817","-18.1900370121003","-18.152140378952","-14.9057099819184","-6.77468776702881","","",
